,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.34690237045288086
1,1,8,1,2,0,14,16,0.24405741691589355
2,1,8,2,5,1,26,32,0.45174551010131836
3,1,8,3,16,3,45,64,0.788140058517456
4,1,16,0,0,0,16,16,0.31836414337158203
5,1,16,1,2,1,29,32,0.5789077281951904
6,1,16,2,5,2,57,64,0.834557056427002
7,1,16,3,16,17,95,128,1.5818848609924316
8,1,32,0,0,0,32,32,0.6291441917419434
9,1,32,1,1,2,61,64,1.0293316841125488
10,1,32,2,5,5,118,128,2.0884249210357666
11,1,32,3,22,28,206,256,3.2837040424346924
12,2,8,0,0,0,16,16,0.50234055519104
13,2,8,1,2,4,26,32,0.6650574207305908
14,2,8,2,7,8,49,64,1.1976795196533203
15,2,8,3,20,18,90,128,2.0410056114196777
16,2,16,0,0,0,32,32,1.5333292484283447
17,2,16,1,1,2,61,64,2.758906602859497
18,2,16,2,4,6,118,128,5.085801362991333
19,2,16,3,14,19,223,256,9.453695297241211
20,2,32,0,0,0,64,64,10.031779289245605
21,2,32,1,3,11,114,128,15.248715877532959
22,2,32,2,8,28,220,256,24.739678859710693
23,2,32,3,26,70,416,512,44.72906184196472
24,3,8,0,0,0,24,24,0.9897081851959229
25,3,8,1,4,4,40,48,1.704782247543335
26,3,8,2,13,9,74,96,2.9691193103790283
27,3,8,3,35,30,127,192,7.585737943649292
28,3,16,0,1,0,47,48,5.524243116378784
29,3,16,1,12,10,74,96,7.3423638343811035
30,3,16,2,28,23,141,192,13.637600421905518
31,3,16,3,66,62,256,384,22.218225479125977
32,3,32,0,0,1,95,96,112.2998514175415
33,3,32,1,9,19,164,192,139.8081352710724
34,3,32,2,34,46,304,384,192.18543577194214
35,3,32,3,95,113,560,768,269.53514671325684
