,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.22820711135864258
1,1,8,1,2,0,14,16,0.25749802589416504
2,1,8,2,5,1,26,32,0.4478428363800049
3,1,8,3,16,3,45,64,0.7772245407104492
4,1,16,0,0,0,16,16,0.2751781940460205
5,1,16,1,2,1,29,32,0.5386638641357422
6,1,16,2,5,2,57,64,0.948235034942627
7,1,16,3,16,17,95,128,1.6451845169067383
8,1,32,0,0,0,32,32,0.6513004302978516
9,1,32,1,1,2,61,64,1.1151096820831299
10,1,32,2,5,5,118,128,2.036815881729126
11,1,32,3,22,28,206,256,3.657453775405884
12,2,8,0,0,0,16,16,0.41468167304992676
13,2,8,1,2,4,26,32,0.5890114307403564
14,2,8,2,7,8,49,64,1.1140024662017822
15,2,8,3,20,18,90,128,1.9300429821014404
16,2,16,0,0,0,32,32,1.425130844116211
17,2,16,1,1,2,61,64,2.4233343601226807
18,2,16,2,4,6,118,128,4.236236333847046
19,2,16,3,14,19,223,256,7.527502059936523
20,2,32,0,0,0,64,64,7.689754009246826
21,2,32,1,3,11,114,128,13.290469884872437
22,2,32,2,8,28,220,256,23.297435522079468
23,2,32,3,26,70,416,512,38.51235294342041
24,3,8,0,0,0,24,24,0.7725627422332764
25,3,8,1,4,4,40,48,1.2542569637298584
26,3,8,2,13,9,74,96,2.222261667251587
27,3,8,3,35,30,127,192,3.827545166015625
28,3,16,0,1,0,47,48,4.051206588745117
29,3,16,1,12,10,74,96,4.998623371124268
30,3,16,2,28,23,141,192,9.210711002349854
31,3,16,3,66,62,256,384,15.68169355392456
32,3,32,0,0,1,95,96,127.15644216537476
33,3,32,1,9,19,164,192,179.99311685562134
34,3,32,2,34,46,304,384,182.702810049057
35,3,32,3,95,113,560,768,231.52421522140503
