,metodo,camadas,neurônios,slices,tempo
0,tjeng,1,8,0,0.1849832534790039
1,tjeng,1,8,1,0.20875048637390137
2,tjeng,1,8,2,0.38048315048217773
3,tjeng,1,8,3,0.6674542427062988
4,tjeng,1,16,0,0.24762535095214844
5,tjeng,1,16,1,0.4353678226470947
6,tjeng,1,16,2,0.848442554473877
7,tjeng,1,16,3,1.3595349788665771
8,tjeng,1,32,0,0.5846619606018066
9,tjeng,1,32,1,1.0476438999176025
10,tjeng,1,32,2,1.8599228858947754
11,tjeng,1,32,3,3.435960292816162
12,tjeng,2,8,0,0.3902781009674072
13,tjeng,2,8,1,0.5565328598022461
14,tjeng,2,8,2,1.0609183311462402
15,tjeng,2,8,3,1.8514251708984375
16,tjeng,2,16,0,1.3489270210266113
17,tjeng,2,16,1,2.2892658710479736
18,tjeng,2,16,2,4.084308862686157
19,tjeng,2,16,3,7.257009744644165
20,tjeng,2,32,0,7.298276424407959
21,tjeng,2,32,1,12.76297378540039
22,tjeng,2,32,2,22.75315809249878
23,tjeng,2,32,3,36.639498710632324
24,tjeng,3,8,0,0.7148392200469971
25,tjeng,3,8,1,1.2243249416351318
26,tjeng,3,8,2,2.1627955436706543
27,tjeng,3,8,3,3.688044786453247
28,tjeng,3,16,0,3.8553988933563232
29,tjeng,3,16,1,4.737293243408203
30,tjeng,3,16,2,8.801198482513428
31,tjeng,3,16,3,14.992902517318726
32,tjeng,3,32,0,117.5739049911499
33,tjeng,3,32,1,166.30522346496582
34,tjeng,3,32,2,161.8291893005371
35,tjeng,3,32,3,216.57581281661987
