,metodo,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total
0,tjeng,1,8,0,0,0,8,8
1,tjeng,1,8,1,2,0,14,16
2,tjeng,1,8,2,5,1,26,32
3,tjeng,1,8,3,16,3,45,64
4,tjeng,1,16,0,0,0,16,16
5,tjeng,1,16,1,2,1,29,32
6,tjeng,1,16,2,5,2,57,64
7,tjeng,1,16,3,16,17,95,128
8,tjeng,1,32,0,0,0,32,32
9,tjeng,1,32,1,1,2,61,64
10,tjeng,1,32,2,5,5,118,128
11,tjeng,1,32,3,22,28,206,256
12,tjeng,2,8,0,0,0,16,16
13,tjeng,2,8,1,2,4,26,32
14,tjeng,2,8,2,7,8,49,64
15,tjeng,2,8,3,20,18,90,128
16,tjeng,2,16,0,0,0,32,32
17,tjeng,2,16,1,1,2,61,64
18,tjeng,2,16,2,4,6,118,128
19,tjeng,2,16,3,14,19,223,256
20,tjeng,2,32,0,0,0,64,64
21,tjeng,2,32,1,3,11,114,128
22,tjeng,2,32,2,8,28,220,256
23,tjeng,2,32,3,26,70,416,512
24,tjeng,3,8,0,0,0,24,24
25,tjeng,3,8,1,4,4,40,48
26,tjeng,3,8,2,13,9,74,96
27,tjeng,3,8,3,35,30,127,192
28,tjeng,3,16,0,1,0,47,48
29,tjeng,3,16,1,12,10,74,96
30,tjeng,3,16,2,28,23,141,192
31,tjeng,3,16,3,66,62,256,384
32,tjeng,3,32,0,0,1,95,96
33,tjeng,3,32,1,9,19,164,192
34,tjeng,3,32,2,34,46,304,384
35,tjeng,3,32,3,95,113,560,768
