,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.1713576316833496
1,1,8,1,0,3,13,16,0.25491786003112793
2,1,8,2,0,6,26,32,0.422025203704834
3,1,8,3,0,14,50,64,0.7899773120880127
4,1,16,0,0,0,16,16,0.2660939693450928
5,1,16,1,2,2,28,32,0.4312727451324463
6,1,16,2,4,5,55,64,0.8957865238189697
7,1,16,3,13,14,101,128,1.511922836303711
8,1,24,0,0,0,24,24,0.45752429962158203
9,1,24,1,5,2,41,48,0.6937391757965088
10,1,24,2,12,5,79,96,1.3238141536712646
11,1,24,3,29,16,147,192,2.4914398193359375
12,2,8,0,0,0,16,16,0.39238953590393066
13,2,8,1,1,3,28,32,0.6306958198547363
14,2,8,2,2,6,56,64,1.204911231994629
15,2,8,3,13,16,99,128,2.13720440864563
16,2,16,0,0,0,32,32,1.5024354457855225
17,2,16,1,4,2,58,64,2.4984025955200195
18,2,16,2,9,6,113,128,4.379349708557129
19,2,16,3,31,24,201,256,7.453420639038086
20,2,24,0,0,0,48,48,4.05254602432251
21,2,24,1,4,6,86,96,7.067298412322998
22,2,24,2,8,17,167,192,11.594981670379639
23,2,24,3,24,42,318,384,19.035509824752808
24,3,8,0,0,0,24,24,0.6252572536468506
25,3,8,1,3,9,36,48,0.9811770915985107
26,3,8,2,6,19,71,96,1.804530143737793
27,3,8,3,15,46,131,192,3.3738062381744385
28,3,16,0,0,0,48,48,3.6260323524475098
29,3,16,1,5,11,80,96,5.797179937362671
30,3,16,2,14,25,153,192,10.555108070373535
31,3,16,3,46,62,276,384,17.33997368812561
32,3,24,0,0,0,72,72,17.11062526702881
33,3,24,1,12,13,119,144,20.96520161628723
34,3,24,2,32,33,223,288,36.369712114334106
35,3,24,3,84,89,403,576,57.77657723426819
