,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.2540872097015381
1,1,8,1,0,0,16,16,0.44556283950805664
2,1,8,2,0,0,32,32,0.8141117095947266
3,1,8,3,0,0,64,64,1.468484878540039
4,1,16,0,0,0,16,16,0.5242643356323242
5,1,16,1,0,0,32,32,1.0855348110198975
6,1,16,2,0,0,64,64,2.2331080436706543
7,1,16,3,0,0,128,128,4.257690906524658
8,1,24,0,0,0,24,24,0.8726599216461182
9,1,24,1,0,0,48,48,1.7077770233154297
10,1,24,2,0,0,96,96,3.3006739616394043
11,1,24,3,0,0,192,192,6.552203416824341
12,2,8,0,1,0,15,16,0.8752684593200684
13,2,8,1,2,0,30,32,1.5143415927886963
14,2,8,2,4,0,60,64,2.821988821029663
15,2,8,3,8,0,120,128,5.9450390338897705
16,2,16,0,0,0,32,32,3.4159083366394043
17,2,16,1,0,0,64,64,6.427554607391357
18,2,16,2,0,0,128,128,12.736806392669678
19,2,16,3,0,0,256,256,25.054205417633057
20,2,24,0,0,0,48,48,8.042729616165161
21,2,24,1,0,0,96,96,16.52271580696106
22,2,24,2,0,0,192,192,33.27933478355408
23,2,24,3,0,0,384,384,72.01750349998474
24,3,8,0,0,0,24,24,1.6098358631134033
25,3,8,1,0,0,48,48,3.1288821697235107
26,3,8,2,0,0,96,96,6.1208202838897705
27,3,8,3,0,0,192,192,12.232285976409912
28,3,16,0,0,0,48,48,11.056643724441528
29,3,16,1,0,0,96,96,20.449415922164917
30,3,16,2,0,0,192,192,40.98589324951172
31,3,16,3,0,0,384,384,86.92111873626709
32,3,24,0,0,0,72,72,131.265887260437
33,3,24,1,0,0,144,144,268.57516956329346
34,3,24,2,0,0,288,288,524.3330528736115
35,3,24,3,0,0,576,576,1065.9244267940521
