,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.14965558052062988
1,1,8,1,0,0,16,16,0.2598390579223633
2,1,8,2,0,0,32,32,0.4826178550720215
3,1,8,3,0,0,64,64,0.9217767715454102
4,1,16,0,0,0,16,16,0.3109314441680908
5,1,16,1,0,0,32,32,0.5827040672302246
6,1,16,2,0,0,64,64,0.9974160194396973
7,1,16,3,1,3,124,128,1.9628090858459473
8,1,24,0,0,0,24,24,0.4429309368133545
9,1,24,1,0,0,48,48,0.8228845596313477
10,1,24,2,0,0,96,96,1.6595418453216553
11,1,24,3,1,1,190,192,2.892425298690796
12,2,8,0,0,0,16,16,0.38439249992370605
13,2,8,1,0,0,32,32,0.7367839813232422
14,2,8,2,0,0,64,64,1.4193170070648193
15,2,8,3,1,0,127,128,2.719235420227051
16,2,16,0,0,0,32,32,1.379798412322998
17,2,16,1,0,0,64,64,2.6594245433807373
18,2,16,2,0,1,127,128,5.115548372268677
19,2,16,3,6,4,246,256,8.783015489578247
20,2,24,0,0,0,48,48,4.300134897232056
21,2,24,1,0,0,96,96,7.8353071212768555
22,2,24,2,0,0,192,192,15.195826292037964
23,2,24,3,3,6,375,384,27.531957864761353
24,3,8,0,0,0,24,24,0.7235269546508789
25,3,8,1,0,0,48,48,1.379354476928711
26,3,8,2,2,4,90,96,2.6485986709594727
27,3,8,3,8,11,173,192,4.562929630279541
28,3,16,0,0,0,48,48,4.062679052352905
29,3,16,1,0,1,95,96,7.647770404815674
30,3,16,2,2,4,186,192,14.61369276046753
31,3,16,3,15,14,355,384,25.273401021957397
32,3,24,0,0,0,72,72,18.624770402908325
33,3,24,1,0,0,144,144,36.4101140499115
34,3,24,2,0,2,286,288,72.6507568359375
35,3,24,3,2,10,564,576,121.63722157478333
