,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.15259385108947754
1,1,8,1,0,0,16,16,0.26859331130981445
2,1,8,2,2,0,30,32,0.46123218536376953
3,1,8,3,4,0,60,64,0.8205971717834473
4,1,16,0,0,0,16,16,0.29299449920654297
5,1,16,1,0,0,32,32,0.5014009475708008
6,1,16,2,0,0,64,64,0.9765374660491943
7,1,16,3,0,0,128,128,1.890455961227417
8,1,24,0,0,0,24,24,0.5334959030151367
9,1,24,1,0,0,48,48,1.0858154296875
10,1,24,2,0,0,96,96,1.8310377597808838
11,1,24,3,0,2,190,192,3.5005996227264404
12,2,8,0,0,0,16,16,0.3792116641998291
13,2,8,1,0,0,32,32,0.6915583610534668
14,2,8,2,0,0,64,64,1.7256441116333008
15,2,8,3,1,0,127,128,2.9253268241882324
16,2,16,0,0,0,32,32,2.4151625633239746
17,2,16,1,0,0,64,64,3.384694814682007
18,2,16,2,1,0,127,128,5.936424493789673
19,2,16,3,3,3,250,256,12.15753173828125
20,2,24,0,0,0,48,48,5.043262243270874
21,2,24,1,0,0,96,96,9.48719310760498
22,2,24,2,0,0,192,192,18.415453910827637
23,2,24,3,0,3,381,384,31.708413124084473
24,3,8,0,0,0,24,24,1.204664707183838
25,3,8,1,0,0,48,48,1.546994924545288
26,3,8,2,0,0,96,96,2.964860439300537
27,3,8,3,0,0,192,192,7.350383996963501
28,3,16,0,0,0,48,48,3.871154546737671
29,3,16,1,0,0,96,96,7.834164381027222
30,3,16,2,0,2,190,192,14.478254079818726
31,3,16,3,0,9,375,384,27.981602907180786
32,3,24,0,0,0,72,72,22.253599166870117
33,3,24,1,0,0,144,144,44.10456109046936
34,3,24,2,0,2,286,288,79.90986108779907
35,3,24,3,0,8,568,576,135.95197463035583
