,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.2101583480834961
1,1,8,1,0,0,16,16,0.3787527084350586
2,1,8,2,0,0,32,32,0.6901018619537354
3,1,8,3,0,0,64,64,1.3482556343078613
4,1,16,0,0,0,16,16,0.4337327480316162
5,1,16,1,0,0,32,32,0.7867214679718018
6,1,16,2,0,0,64,64,1.581319808959961
7,1,16,3,0,0,128,128,3.0674734115600586
8,1,24,0,0,0,24,24,0.6278278827667236
9,1,24,1,0,0,48,48,1.3238084316253662
10,1,24,2,0,0,96,96,2.438805103302002
11,1,24,3,0,0,192,192,4.826179504394531
12,2,8,0,0,0,16,16,0.4861488342285156
13,2,8,1,0,0,32,32,0.9024026393890381
14,2,8,2,0,0,64,64,1.7823007106781006
15,2,8,3,0,0,128,128,3.3793134689331055
16,2,16,0,0,0,32,32,1.9619712829589844
17,2,16,1,0,0,64,64,4.085666656494141
18,2,16,2,0,0,128,128,7.865641117095947
19,2,16,3,0,0,256,256,15.69585371017456
20,2,24,0,0,0,48,48,5.834479093551636
21,2,24,1,0,0,96,96,11.345277547836304
22,2,24,2,0,0,192,192,22.162769556045532
23,2,24,3,1,1,382,384,42.05760669708252
24,3,8,0,0,1,23,24,0.9778234958648682
25,3,8,1,0,2,46,48,1.8616690635681152
26,3,8,2,0,4,92,96,3.6192238330841064
27,3,8,3,0,8,184,192,6.967775344848633
28,3,16,0,0,0,48,48,5.023622512817383
29,3,16,1,0,0,96,96,9.683303356170654
30,3,16,2,0,0,192,192,19.14829397201538
31,3,16,3,0,0,384,384,41.45930576324463
32,3,24,0,1,0,71,72,37.42261862754822
33,3,24,1,2,0,142,144,65.10509729385376
34,3,24,2,4,0,284,288,121.3345274925232
35,3,24,3,8,0,568,576,214.4015908241272
