,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.15379571914672852
1,1,8,1,0,0,16,16,0.2791881561279297
2,1,8,2,0,0,32,32,0.4963548183441162
3,1,8,3,1,2,61,64,0.9309399127960205
4,1,16,0,0,0,16,16,0.29731321334838867
5,1,16,1,0,0,32,32,0.5876631736755371
6,1,16,2,0,1,63,64,0.9988107681274414
7,1,16,3,0,3,125,128,1.9068059921264648
8,1,24,0,0,0,24,24,0.48769211769104004
9,1,24,1,0,0,48,48,0.8406417369842529
10,1,24,2,1,0,95,96,1.5941319465637207
11,1,24,3,6,0,186,192,2.9565460681915283
12,2,8,0,0,0,16,16,0.4009256362915039
13,2,8,1,0,0,32,32,0.7182302474975586
14,2,8,2,0,0,64,64,1.375058889389038
15,2,8,3,0,4,124,128,2.4388785362243652
16,2,16,0,0,0,32,32,1.4901621341705322
17,2,16,1,0,0,64,64,2.8153467178344727
18,2,16,2,0,0,128,128,6.136904239654541
19,2,16,3,0,3,253,256,11.023324728012085
20,2,24,0,0,0,48,48,4.183725118637085
21,2,24,1,1,0,95,96,7.6866679191589355
22,2,24,2,2,0,190,192,14.788976192474365
23,2,24,3,10,8,366,384,24.99514937400818
24,3,8,0,0,1,23,24,0.8472919464111328
25,3,8,1,1,2,45,48,1.5296425819396973
26,3,8,2,3,4,89,96,2.9542970657348633
27,3,8,3,8,10,174,192,5.454402923583984
28,3,16,0,0,1,47,48,3.8259410858154297
29,3,16,1,0,4,92,96,7.651651620864868
30,3,16,2,0,9,183,192,15.703372955322266
31,3,16,3,3,22,359,384,29.233141899108887
32,3,24,0,0,0,72,72,16.03744077682495
33,3,24,1,2,1,141,144,30.98794436454773
34,3,24,2,6,3,279,288,60.4891242980957
35,3,24,3,13,17,546,576,113.85030007362366
