,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.17959809303283691
1,1,8,1,2,0,14,16,0.25821661949157715
2,1,8,2,5,1,26,32,0.42403507232666016
3,1,8,3,16,3,45,64,0.7617981433868408
4,1,16,0,0,0,16,16,0.2718067169189453
5,1,16,1,2,1,29,32,0.452517032623291
6,1,16,2,5,2,57,64,0.9454829692840576
7,1,16,3,16,17,95,128,1.523850679397583
8,2,8,0,0,0,16,16,0.41848039627075195
9,2,8,1,2,4,26,32,0.5867900848388672
10,2,8,2,7,8,49,64,1.2095656394958496
11,2,8,3,20,18,90,128,2.217182159423828
12,2,16,0,0,0,32,32,1.5710902214050293
13,2,16,1,1,2,61,64,2.804835081100464
14,2,16,2,4,6,118,128,4.76577091217041
15,2,16,3,14,19,223,256,9.68518877029419
16,3,8,0,0,0,24,24,0.7833914756774902
17,3,8,1,4,4,40,48,1.3287136554718018
18,3,8,2,13,9,74,96,2.2664690017700195
19,3,8,3,35,30,127,192,3.924994945526123
20,3,16,0,1,0,47,48,4.503381252288818
21,3,16,1,12,10,74,96,5.2575225830078125
22,3,16,2,28,23,141,192,10.0190589427948
23,3,16,3,66,62,256,384,18.60058069229126
24,4,8,0,0,0,32,32,1.6775972843170166
25,4,8,1,1,3,60,64,2.734997510910034
26,4,8,2,4,9,115,128,5.413703918457031
27,4,8,3,13,23,220,256,9.635238647460938
28,4,16,0,0,1,63,64,14.85057258605957
29,4,16,1,12,19,97,128,18.63069200515747
30,4,16,2,35,41,180,256,30.513736724853516
31,4,16,3,92,95,325,512,45.56083536148071
