,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.1366112232208252
1,1,8,1,0,0,16,16,0.26223039627075195
2,1,8,2,0,0,32,32,0.44191765785217285
3,1,8,3,0,0,64,64,0.8633139133453369
4,1,16,0,0,0,16,16,0.2622394561767578
5,1,16,1,0,0,32,32,0.48773813247680664
6,1,16,2,0,0,64,64,0.9504361152648926
7,1,16,3,0,1,127,128,1.8475487232208252
8,2,8,0,0,0,16,16,0.35407304763793945
9,2,8,1,0,0,32,32,0.6501061916351318
10,2,8,2,0,0,64,64,1.2739253044128418
11,2,8,3,1,2,125,128,2.2997405529022217
12,2,16,0,0,1,31,32,1.2772233486175537
13,2,16,1,0,2,62,64,2.626491069793701
14,2,16,2,0,4,124,128,4.863481521606445
15,2,16,3,1,11,244,256,8.935123205184937
16,3,8,0,0,0,24,24,0.7170157432556152
17,3,8,1,0,1,47,48,1.3372247219085693
18,3,8,2,0,3,93,96,2.611268997192383
19,3,8,3,1,7,184,192,5.068921089172363
20,3,16,0,0,0,48,48,5.007447242736816
21,3,16,1,0,0,96,96,11.25054669380188
22,3,16,2,1,0,191,192,24.085906982421875
23,3,16,3,6,0,378,384,37.34508299827576
24,4,8,0,0,1,31,32,1.2730350494384766
25,4,8,1,1,5,58,64,2.452002763748169
26,4,8,2,2,13,113,128,4.787204742431641
27,4,8,3,4,33,219,256,9.017482042312622
28,4,16,0,3,0,61,64,10.137384414672852
29,4,16,1,7,0,121,128,18.719050645828247
30,4,16,2,17,7,232,256,38.146008014678955
31,4,16,3,51,36,425,512,57.47958970069885
