,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.19097113609313965
1,1,8,1,0,0,16,16,0.3525986671447754
2,1,8,2,0,0,32,32,0.6313374042510986
3,1,8,3,1,1,62,64,1.1985549926757812
4,1,16,0,0,0,16,16,0.3914461135864258
5,1,16,1,0,0,32,32,0.7070345878601074
6,1,16,2,0,0,64,64,1.3770992755889893
7,1,16,3,2,0,126,128,2.6752898693084717
8,2,8,0,0,0,16,16,0.4311714172363281
9,2,8,1,0,0,32,32,0.7930216789245605
10,2,8,2,0,0,64,64,1.7356181144714355
11,2,8,3,0,1,127,128,3.0975265502929688
12,2,16,0,0,0,32,32,1.9688019752502441
13,2,16,1,0,0,64,64,3.9176864624023438
14,2,16,2,0,0,128,128,7.605738878250122
15,2,16,3,3,0,253,256,13.977593183517456
16,3,8,0,0,1,23,24,0.9662184715270996
17,3,8,1,0,2,46,48,1.8513422012329102
18,3,8,2,0,4,92,96,3.718735694885254
19,3,8,3,0,8,184,192,7.416240215301514
20,3,16,0,0,1,47,48,4.558550834655762
21,3,16,1,1,4,91,96,8.507468223571777
22,3,16,2,2,11,179,192,17.065213680267334
23,3,16,3,8,31,345,384,30.867141008377075
24,4,8,0,1,0,31,32,1.538543462753296
25,4,8,1,2,1,61,64,2.8574068546295166
26,4,8,2,5,2,121,128,5.555829048156738
27,4,8,3,17,4,235,256,10.461320638656616
28,4,16,0,1,0,63,64,14.677064180374146
29,4,16,1,3,0,125,128,29.453946828842163
30,4,16,2,9,0,247,256,59.006507396698
31,4,16,3,32,13,467,512,84.47485280036926
