,camadas,neurônios,slices,tamanho_max,tamanho_min,tamanho_médio,tamanho_desvio_padrão,tempo_max,tempo_min,tempo_médio,tempo_desvio_padrão,tempo_total
0,1,8,0,9,2,5.828571428571428,1.4036332624313683,0.2621462345123291,0.10914921760559082,0.13694770336151124,0.020291807686168454,9.587256669998169
1,1,8,1,9,2,5.828571428571428,1.4036332624313683,0.30145263671875,0.10692739486694336,0.14354184695652553,0.033042708474851294,10.048917531967163
2,1,8,2,9,2,5.828571428571428,1.4036332624313683,0.3128530979156494,0.1026313304901123,0.15332487310682025,0.034121629748785,10.733736991882324
3,1,8,3,9,2,5.828571428571428,1.4036332624313683,0.3821299076080322,0.09807515144348145,0.16655819416046141,0.05044171993651082,11.660149097442627
4,1,16,0,7,1,5.357142857142857,1.129777639860141,0.3062167167663574,0.1092081069946289,0.15475157669612338,0.023742290296543164,10.833685636520386
5,1,16,1,7,1,5.357142857142857,1.129777639860141,0.2785012722015381,0.11101436614990234,0.16472399575369698,0.028966567567718326,11.531746625900269
6,1,16,2,7,1,5.357142857142857,1.129777639860141,0.32984352111816406,0.1238565444946289,0.17351037434169225,0.0321165918683087,12.146758079528809
7,1,16,3,7,1,5.357142857142857,1.129777639860141,0.4431583881378174,0.1268599033355713,0.20180021694728306,0.06404994245120425,14.12706971168518
8,2,8,0,10,2,6.5,1.2481870911416901,0.3017442226409912,0.11145997047424316,0.16695709228515626,0.026069127327388506,11.687918424606323
9,2,8,1,10,2,6.5,1.2481870911416901,0.34331536293029785,0.12337970733642578,0.17753381388528006,0.037071797889342145,12.428404808044434
10,2,8,2,10,2,6.5,1.2481870911416901,0.3069572448730469,0.12343883514404297,0.18922315325055802,0.036967087319702496,13.246567010879517
11,2,8,3,10,2,6.5,1.2481870911416901,0.4164903163909912,0.12304878234863281,0.20025388513292586,0.06278120634695224,14.018730878829956
12,2,16,0,9,4,5.985714285714286,1.2335039890885269,1.150606393814087,0.1398792266845703,0.45994970457894463,0.16599614428081483,32.19744563102722
13,2,16,1,9,4,5.985714285714286,1.2335039890885269,1.4045066833496094,0.14660120010375977,0.47501469339643204,0.19134152878734048,33.25211787223816
14,2,16,2,9,4,5.985714285714286,1.2335039890885269,1.035966157913208,0.1371452808380127,0.4715496710368565,0.15255585177110392,33.00949573516846
15,2,16,3,9,4,5.985714285714286,1.2335039890885269,1.1888325214385986,0.14207792282104492,0.48699911662510464,0.17280462715225764,34.091004610061646
16,3,8,0,9,2,6.314285714285714,1.429937235298952,0.49959278106689453,0.14518141746520996,0.26667520318712506,0.07346893291772268,18.668312788009644
17,3,8,1,9,2,6.314285714285714,1.429937235298952,0.46744203567504883,0.14046311378479004,0.27638697624206543,0.07990543117936907,19.34810185432434
18,3,8,2,9,2,6.314285714285714,1.429937235298952,0.44974756240844727,0.16059637069702148,0.29610210486820765,0.0745362735218553,20.728203535079956
19,3,8,3,9,2,6.314285714285714,1.429937235298952,0.5491154193878174,0.16089463233947754,0.3185238940375192,0.1011682465440771,22.297701597213745
20,3,16,0,10,3,6.485714285714286,1.4012712359156434,11.601633310317993,0.24367690086364746,2.1416658401489257,2.1153198581003188,149.91762161254883
21,3,16,1,10,3,6.485714285714286,1.4012712359156434,11.971035718917847,0.24805402755737305,2.2013236897332327,2.1621804697294182,154.093674659729
22,3,16,2,10,3,6.485714285714286,1.4012712359156434,11.856018543243408,0.2402961254119873,2.034738343102591,2.1076173661845243,142.432630777359
23,3,16,3,10,3,6.485714285714286,1.4012712359156434,11.691456079483032,0.25748538970947266,2.1882723808288573,2.365807726569486,153.18009757995605
24,4,8,0,9,4,6.228571428571429,0.9505365162565087,0.501589298248291,0.18049192428588867,0.3298426798411778,0.05237670307809277,23.090088367462158
25,4,8,1,9,4,6.228571428571429,0.9505365162565087,0.49709081649780273,0.17820191383361816,0.3431365830557687,0.06188482185888692,24.02060556411743
26,4,8,2,9,4,6.228571428571429,0.9505365162565087,0.5531618595123291,0.18761515617370605,0.36784305913107734,0.07395218143563341,25.749996662139893
27,4,8,3,9,4,6.228571428571429,0.9505365162565087,0.697869062423706,0.18952012062072754,0.37846816267286026,0.09044269060325023,26.49374270439148
28,4,16,0,9,2,5.9,1.4561215110946146,534.0249691009521,0.5071184635162354,87.9444720506668,111.51590368381292,6156.113954305649
29,4,16,1,9,2,5.9,1.4561215110946146,596.2612679004669,0.5488393306732178,85.95716056483133,116.26383492906776,6017.00231385231
30,4,16,2,9,2,5.9,1.4561215110946146,379.1885013580322,0.48737454414367676,74.22415808950151,86.96288407856137,5195.69211101532
31,4,16,3,9,2,5.9,1.4561215110946146,270.9193687438965,0.4945657253265381,55.246613890784126,60.86019556337879,3867.2639243602753
