,camadas,neurônios,slices,tamanho_max,tamanho_min,tamanho_médio,tamanho_desvio_padrão,tempo_max,tempo_min,tempo_médio,tempo_desvio_padrão,tempo_total
0,1,8,0,18,12,15.142857142857142,1.5259657363687524,0.29170989990234375,0.14130663871765137,0.18117072468712217,0.043460157112637614,3.805131435394287
1,1,8,1,18,12,15.142857142857142,1.5259657363687524,0.2759053707122803,0.14979195594787598,0.19137400672549293,0.03550720155657778,4.019366979598999
2,1,8,2,18,12,15.142857142857142,1.5259657363687524,0.2558121681213379,0.14297151565551758,0.1772932665688651,0.030433255062270886,3.7237186431884766
3,1,8,3,18,12,15.142857142857142,1.5259657363687524,0.38941025733947754,0.1452469825744629,0.1879748843965076,0.053985269189583435,3.9480345249176025
4,1,16,0,18,13,15.666666666666666,1.1547005383792515,0.2855823040008545,0.16021203994750977,0.2030366375332787,0.038273567006510176,4.264336824417114
5,1,16,1,18,13,15.666666666666666,1.1547005383792515,0.41643404960632324,0.1595747470855713,0.22083687782287598,0.06262042348124643,4.638121128082275
6,1,16,2,18,13,15.666666666666666,1.1547005383792515,0.3552377223968506,0.1646566390991211,0.2221576145717076,0.058586239185844394,4.665902614593506
7,1,16,3,18,13,15.666666666666666,1.1547005383792515,0.40102219581604004,0.15779638290405273,0.23837517556690035,0.07432815052082078,5.006422996520996
8,2,8,0,18,13,14.666666666666666,1.390443574307614,0.36388349533081055,0.18265175819396973,0.2514840080624535,0.04765530498687435,5.281758546829224
9,2,8,1,18,13,14.666666666666666,1.390443574307614,0.38540077209472656,0.18002557754516602,0.26268544651213144,0.06072970455512795,5.516970157623291
10,2,8,2,18,13,14.666666666666666,1.390443574307614,0.3703427314758301,0.17985200881958008,0.25675920077732634,0.05567488801105512,5.392546892166138
11,2,8,3,18,13,14.666666666666666,1.390443574307614,0.3680264949798584,0.1789381504058838,0.26614558129083543,0.059186923034506296,5.589606285095215
12,2,16,0,17,13,15.0,1.1832159566199232,1.3479321002960205,0.275052547454834,0.5982796010516939,0.2306640524889625,12.564385414123535
13,2,16,1,17,13,15.0,1.1832159566199232,1.4568796157836914,0.2716085910797119,0.6270433494022915,0.2575792986064576,13.168424606323242
14,2,16,2,17,13,15.0,1.1832159566199232,1.8360140323638916,0.2693626880645752,0.6342383112226214,0.31824638654666765,13.319608211517334
15,2,16,3,17,13,15.0,1.1832159566199232,1.7634170055389404,0.33992958068847656,0.6572927520388648,0.29337004321634663,13.803691864013672
16,3,8,0,17,10,13.619047619047619,2.060975266134712,0.7752470970153809,0.1810619831085205,0.4936188743228004,0.1527097506260407,10.366550922393799
17,3,8,1,17,10,13.619047619047619,2.060975266134712,0.8309259414672852,0.18455195426940918,0.5316713651021322,0.17746557129370166,11.165634155273438
18,3,8,2,17,10,13.619047619047619,2.060975266134712,0.7853648662567139,0.19620633125305176,0.5084357829320998,0.1501134006530403,10.677720785140991
19,3,8,3,17,10,13.619047619047619,2.060975266134712,0.8859403133392334,0.19422197341918945,0.5285062449319022,0.16600919197770544,11.099162578582764
20,3,16,0,19,13,15.857142857142858,1.3522468075656264,9.445205688476562,0.5444047451019287,2.685781092870803,2.473066933575647,56.40200710296631
21,3,16,1,19,13,15.857142857142858,1.3522468075656264,7.699205636978149,0.5285444259643555,2.3256853989192416,1.9051172147112927,48.83999729156494
22,3,16,2,19,13,15.857142857142858,1.3522468075656264,15.249221801757812,0.5274548530578613,3.279166369211106,3.376407089849826,68.86306738853455
23,3,16,3,19,13,15.857142857142858,1.3522468075656264,7.343799829483032,0.5937290191650391,2.4343867074875605,1.995202636871128,51.122689962387085
24,4,8,0,18,13,15.476190476190476,1.503963018795596,1.144606351852417,0.2792506217956543,0.6011128085000175,0.28525492482412634,12.623937606811523
25,4,8,1,18,13,15.476190476190476,1.503963018795596,1.298588752746582,0.27095818519592285,0.6262966451190767,0.2956922347639329,13.152809619903564
26,4,8,2,18,13,15.476190476190476,1.503963018795596,1.2915582656860352,0.2700681686401367,0.6425503322056362,0.3120873422542319,13.494120836257935
27,4,8,3,18,13,15.476190476190476,1.503963018795596,1.1352410316467285,0.2744624614715576,0.6225788593292236,0.2820006907415897,13.074687004089355
28,4,16,0,19,12,15.476190476190476,1.569045812557671,84.63190054893494,0.7871599197387695,18.444847969781783,24.58873778001328,387.3423523902893
29,4,16,1,19,12,15.476190476190476,1.569045812557671,145.11117362976074,0.9802401065826416,21.65597737403143,31.812560818548697,454.7761151790619
30,4,16,2,19,12,15.476190476190476,1.569045812557671,145.05518651008606,1.0509140491485596,22.202780757631576,34.01979823493814,466.25897216796875
31,4,16,3,19,12,15.476190476190476,1.569045812557671,86.85097599029541,1.140432596206665,21.906834965660458,27.691831512619018,460.04408288002014
