,camadas,neurônios,slices,tamanho_max,tamanho_min,tamanho_médio,tamanho_desvio_padrão,tempo_max,tempo_min,tempo_médio,tempo_desvio_padrão,tempo_total
0,1,8,0,6,3,4.258064516129032,1.0944630931948283,0.1465005874633789,0.09955310821533203,0.12481461801836567,0.012870192700034262,3.8699252605438232
1,1,8,1,6,3,4.258064516129032,1.0944630931948283,0.26369237899780273,0.09858036041259766,0.13693919489460607,0.028095895409474145,4.24576997756958
2,1,8,2,6,3,4.258064516129032,1.0944630931948283,0.2907273769378662,0.10036444664001465,0.1596915106619558,0.0384036342279751,4.9511449337005615
3,1,8,3,6,3,4.258064516129032,1.0944630931948283,0.24570679664611816,0.10093951225280762,0.184153349168839,0.04143940010062501,5.709472894668579
4,1,16,0,8,2,3.5806451612903225,1.727699695131981,0.22249150276184082,0.10646486282348633,0.16577299948661559,0.022755758098669344,5.139622449874878
5,1,16,1,8,2,3.5806451612903225,1.727699695131981,0.19328594207763672,0.10541605949401855,0.16076970100402832,0.022346729771183817,4.984533786773682
6,1,16,2,8,2,3.5806451612903225,1.727699695131981,0.24477696418762207,0.10512113571166992,0.1932833117823447,0.04206654866970277,5.992444038391113
7,1,16,3,8,2,3.5806451612903225,1.727699695131981,0.41523194313049316,0.10968804359436035,0.24588586438086726,0.08364018129600631,7.623178005218506
8,2,8,0,8,3,4.612903225806452,1.6467628721188874,0.3090090751647949,0.10921287536621094,0.17757299638563587,0.041929573004512034,5.505438804626465
9,2,8,1,8,3,4.612903225806452,1.6467628721188874,0.29568934440612793,0.10686135292053223,0.18269488888402138,0.038487902493837864,5.664257526397705
10,2,8,2,8,3,4.612903225806452,1.6467628721188874,0.3568074703216553,0.1072077751159668,0.2200834212764617,0.061879877784067235,6.823281526565552
11,2,8,3,8,3,4.612903225806452,1.6467628721188874,0.4192008972167969,0.1051168441772461,0.2713377783375402,0.09672326115493378,8.412206411361694
12,2,16,0,7,3,4.548387096774194,1.2868232118261715,0.6094164848327637,0.15099763870239258,0.38109179466001447,0.13482813133615099,11.814491033554077
13,2,16,1,7,3,4.548387096774194,1.2868232118261715,0.5664975643157959,0.1451733112335205,0.3794579275192753,0.1388302379821571,11.76385498046875
14,2,16,2,7,3,4.548387096774194,1.2868232118261715,0.6492927074432373,0.14548206329345703,0.38803639719563143,0.13591578616047797,12.029787063598633
15,2,16,3,7,3,4.548387096774194,1.2868232118261715,0.7010328769683838,0.14448857307434082,0.4121631883805798,0.1598894574598446,12.777764558792114
16,3,8,0,6,3,3.935483870967742,0.8920195764282209,0.4467952251434326,0.16033649444580078,0.3172724323887979,0.07569463219789223,9.836225032806396
17,3,8,1,6,3,3.935483870967742,0.8920195764282209,0.42755985260009766,0.166947603225708,0.32089309538564376,0.06730536489999246,9.948391437530518
18,3,8,2,6,3,3.935483870967742,0.8920195764282209,0.5114004611968994,0.16938257217407227,0.372535067219888,0.09779615655916793,11.54926609992981
19,3,8,3,6,3,3.935483870967742,0.8920195764282209,0.67331862449646,0.1636981964111328,0.43096386232683737,0.12193697093044775,13.360544443130493
20,3,16,0,8,3,4.806451612903226,1.558190293015366,16.80997085571289,0.2050623893737793,3.3032322468296176,4.126545332006051,102.40091037750244
21,3,16,1,8,3,4.806451612903226,1.558190293015366,13.412556886672974,0.22425603866577148,2.7684180198177213,3.1464362398226573,85.82168626785278
22,3,16,2,8,3,4.806451612903226,1.558190293015366,21.869832515716553,0.20864033699035645,4.117215525719427,5.19645319322679,127.63435673713684
23,3,16,3,8,3,4.806451612903226,1.558190293015366,12.118117094039917,0.16971158981323242,3.1191632747650146,3.4449971632754246,96.69472146034241
24,4,8,0,7,2,3.6774193548387095,1.4465383224372488,0.4825568199157715,0.15629291534423828,0.35255966647978754,0.07885555402093476,10.930044651031494
25,4,8,1,7,2,3.6774193548387095,1.4465383224372488,0.5576465129852295,0.1605534553527832,0.38354642160477176,0.09935478837543932,11.890657663345337
26,4,8,2,7,2,3.6774193548387095,1.4465383224372488,0.6085460186004639,0.15072965621948242,0.42968718467220185,0.10846033112174287,13.320995092391968
27,4,8,3,7,2,3.6774193548387095,1.4465383224372488,0.9262914657592773,0.1584165096282959,0.5161801768887427,0.1652548340470291,16.002286911010742
28,4,16,0,8,3,5.258064516129032,1.1823068393465341,184.47825050354004,0.39702343940734863,17.654851782706476,36.38007467748642,547.3011147975922
29,4,16,1,8,3,5.258064516129032,1.1823068393465341,136.339688539505,0.32602524757385254,18.734066094121626,35.51989296637813,580.756758928299
30,4,16,2,8,3,5.258064516129032,1.1823068393465341,85.47684597969055,0.3737070560455322,15.08024307989305,19.803480661895506,467.48822498321533
31,4,16,3,8,3,5.258064516129032,1.1823068393465341,102.7431972026825,0.3164091110229492,15.582900608739545,24.496079451576897,483.0706911087036
