,camadas,neurônios,slices,tamanho_max,tamanho_min,tamanho_médio,tamanho_desvio_padrão,tempo_max,tempo_min,tempo_médio,tempo_desvio_padrão,tempo_total
0,1,8,0,5,1,2.096774193548387,1.4565811916428482,0.2512667179107666,0.08764839172363281,0.10113813800196494,0.02206236815005498,6.27149772644043
1,1,8,1,5,1,2.096774193548387,1.4565811916428482,0.2617526054382324,0.1016232967376709,0.13487210196833457,0.02145097119741225,8.362966775894165
2,1,8,2,5,1,2.096774193548387,1.4565811916428482,0.3522508144378662,0.10183477401733398,0.19143347970900998,0.04875669660503006,11.869788408279419
3,1,8,3,5,1,2.096774193548387,1.4565811916428482,0.5268228054046631,0.09994292259216309,0.3165516391877205,0.11025045918097127,19.62713050842285
4,1,16,0,6,1,1.6129032258064515,1.4860536220239184,0.13671350479125977,0.09012031555175781,0.09948740851494574,0.01119378005684343,6.169094562530518
5,1,16,1,6,1,1.6129032258064515,1.4860536220239184,0.28438735008239746,0.10778427124023438,0.1464367643479378,0.029276079851829617,9.079983472824097
6,1,16,2,6,1,1.6129032258064515,1.4860536220239184,0.35270261764526367,0.10687780380249023,0.21858919820477885,0.03609464643943708,13.553455829620361
7,1,16,3,6,1,1.6129032258064515,1.4860536220239184,0.549309492111206,0.10938882827758789,0.3815054355129119,0.1028373115512794,23.654267072677612
8,2,8,0,4,1,1.6129032258064515,0.9470374637227091,0.9451849460601807,0.09001517295837402,0.14791892036314933,0.11575382921700657,9.171852588653564
9,2,8,1,4,1,1.6129032258064515,0.9470374637227091,0.3006923198699951,0.1341390609741211,0.1701344713088005,0.04318810431268735,10.549197912216187
10,2,8,2,4,1,1.6129032258064515,0.9470374637227091,0.3614161014556885,0.14401531219482422,0.23110992677750125,0.03388850652650547,14.329757928848267
11,2,8,3,4,1,1.6129032258064515,0.9470374637227091,0.5420260429382324,0.20241808891296387,0.37355639088538384,0.08753416104790256,23.16138792037964
12,2,16,0,5,1,1.7096774193548387,1.0304717489496715,0.3597860336303711,0.10233569145202637,0.19286462183921568,0.09346728972546312,11.958455324172974
13,2,16,1,5,1,1.7096774193548387,1.0304717489496715,0.51816725730896,0.14483189582824707,0.24656683398831275,0.11898297561087705,15.288037776947021
14,2,16,2,5,1,1.7096774193548387,1.0304717489496715,0.5569987297058105,0.18158578872680664,0.3215070962905884,0.10333736017442272,19.934256076812744
15,2,16,3,5,1,1.7096774193548387,1.0304717489496715,0.8787074089050293,0.19017457962036133,0.5146746443163964,0.16006448984805965,31.91076898574829
16,3,8,0,5,1,1.4838709677419355,1.2770603472893207,0.24964046478271484,0.09267711639404297,0.10875463101171678,0.02849487140940331,6.743609189987183
17,3,8,1,5,1,1.4838709677419355,1.2770603472893207,0.27506542205810547,0.13665175437927246,0.148118915096406,0.02036363390039774,9.184290885925293
18,3,8,2,5,1,1.4838709677419355,1.2770603472893207,0.3738255500793457,0.16905474662780762,0.23509054799233714,0.03378762577016707,14.576526165008545
19,3,8,3,5,1,1.4838709677419355,1.2770603472893207,0.566781759262085,0.14429545402526855,0.40959322452545166,0.0876134852674688,25.395596742630005
20,3,16,0,5,1,2.032258064516129,1.3666729007179619,2.203697681427002,0.11772871017456055,0.5287877090515629,0.528525476828663,32.78573274612427
21,3,16,1,5,1,2.032258064516129,1.3666729007179619,1.9712066650390625,0.16417765617370605,0.6801420450210571,0.6419331311822829,42.16962814331055
22,3,16,2,5,1,2.032258064516129,1.3666729007179619,2.4064838886260986,0.2457590103149414,0.7152380481843026,0.6155103378744577,44.345696210861206
23,3,16,3,5,1,2.032258064516129,1.3666729007179619,2.204165458679199,0.41356706619262695,0.8377090615610923,0.5350508367286404,51.93888854980469
