,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.3071305751800537
1,1,8,1,0,0,16,16,0.5438048839569092
2,1,8,2,0,0,32,32,0.983544111251831
3,1,8,3,0,0,64,64,2.0849227905273438
4,1,16,0,0,0,16,16,0.6179466247558594
5,1,16,1,0,0,32,32,1.2700564861297607
6,1,16,2,0,0,64,64,2.5795984268188477
7,1,16,3,0,0,128,128,5.189886569976807
8,2,8,0,0,0,16,16,0.7662215232849121
9,2,8,1,0,0,32,32,1.4671943187713623
10,2,8,2,0,0,64,64,2.848134756088257
11,2,8,3,0,0,128,128,5.680956602096558
12,2,16,0,0,0,32,32,3.053323984146118
13,2,16,1,0,0,64,64,6.203792572021484
14,2,16,2,0,0,128,128,11.874946594238281
15,2,16,3,0,0,256,256,23.682022094726562
16,3,8,0,0,0,24,24,1.4509358406066895
17,3,8,1,0,0,48,48,2.870363712310791
18,3,8,2,0,0,96,96,5.57375168800354
19,3,8,3,0,0,192,192,11.828984022140503
20,3,16,0,0,0,48,48,8.630029201507568
21,3,16,1,0,0,96,96,17.472434043884277
22,3,16,2,0,0,192,192,39.26941251754761
23,3,16,3,0,0,384,384,79.38434433937073
24,4,8,0,0,0,32,32,2.2538206577301025
25,4,8,1,0,0,64,64,4.296727895736694
26,4,8,2,0,0,128,128,8.933973789215088
27,4,8,3,0,0,256,256,17.858778953552246
28,4,16,0,0,0,64,64,28.762561082839966
29,4,16,1,0,0,128,128,56.575275182724
30,4,16,2,0,0,256,256,107.61326766014099
31,4,16,3,0,0,512,512,206.7446210384369
