,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.1958935260772705
1,1,8,1,0,0,16,16,0.37467408180236816
2,1,8,2,0,0,32,32,0.6792974472045898
3,1,8,3,0,0,64,64,1.2984659671783447
4,1,16,0,0,0,16,16,0.642737627029419
5,1,16,1,0,0,32,32,1.2787704467773438
6,1,16,2,0,0,64,64,2.4684932231903076
7,1,16,3,0,0,128,128,5.031919240951538
8,1,24,0,0,0,24,24,1.0165610313415527
9,1,24,1,0,0,48,48,1.8907639980316162
10,1,24,2,0,0,96,96,3.883850574493408
11,1,24,3,0,0,192,192,7.998028755187988
12,2,8,0,0,0,16,16,0.7469742298126221
13,2,8,1,0,0,32,32,1.3650193214416504
14,2,8,2,0,0,64,64,2.672830581665039
15,2,8,3,0,0,128,128,5.571979522705078
16,2,16,0,0,0,32,32,3.175873041152954
17,2,16,1,0,0,64,64,6.707845687866211
18,2,16,2,0,0,128,128,14.031765699386597
19,2,16,3,0,0,256,256,28.06899666786194
20,2,24,0,0,0,48,48,11.459066152572632
21,2,24,1,0,0,96,96,23.960853099822998
22,2,24,2,0,0,192,192,49.269182205200195
23,2,24,3,0,0,384,384,99.10818004608154
24,3,8,0,0,0,24,24,1.5273244380950928
25,3,8,1,0,0,48,48,2.873157024383545
26,3,8,2,0,0,96,96,6.012930393218994
27,3,8,3,0,0,192,192,11.875093221664429
28,3,16,0,0,0,48,48,11.616399765014648
29,3,16,1,0,0,96,96,21.468090534210205
30,3,16,2,0,0,192,192,42.75677013397217
31,3,16,3,0,0,384,384,81.74104690551758
32,3,24,0,0,0,72,72,162.88566398620605
33,3,24,1,0,0,144,144,349.60215306282043
34,3,24,2,0,0,288,288,660.7296068668365
35,3,24,3,0,0,576,576,1295.449144601822
