,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.3054633140563965
1,1,8,1,0,0,16,16,0.5285470485687256
2,1,8,2,0,0,32,32,1.0026664733886719
3,1,8,3,0,0,64,64,1.767608880996704
4,1,16,0,0,0,16,16,0.6351120471954346
5,1,16,1,0,0,32,32,1.139462947845459
6,1,16,2,0,0,64,64,2.4020097255706787
7,1,16,3,0,0,128,128,4.578421592712402
8,2,8,0,0,0,16,16,0.9024224281311035
9,2,8,1,0,0,32,32,1.6426270008087158
10,2,8,2,0,0,64,64,3.146850109100342
11,2,8,3,0,0,128,128,6.184369087219238
12,2,16,0,0,0,32,32,4.023223638534546
13,2,16,1,0,0,64,64,8.235240936279297
14,2,16,2,0,0,128,128,15.889768123626709
15,2,16,3,0,0,256,256,31.37334895133972
16,3,8,0,0,0,24,24,1.7892670631408691
17,3,8,1,0,0,48,48,3.759375810623169
18,3,8,2,0,0,96,96,6.942053556442261
19,3,8,3,0,0,192,192,14.223775863647461
20,3,16,0,0,0,48,48,15.151264429092407
21,3,16,1,0,0,96,96,31.61195206642151
22,3,16,2,0,0,192,192,61.613038778305054
23,3,16,3,0,0,384,384,123.87653684616089
24,4,8,0,0,2,30,32,2.3124566078186035
25,4,8,1,0,4,60,64,4.82054591178894
26,4,8,2,0,9,119,128,9.637429475784302
27,4,8,3,0,18,238,256,18.765671730041504
28,4,16,0,0,1,63,64,36.87036991119385
29,4,16,1,1,3,124,128,82.01872682571411
30,4,16,2,2,7,247,256,164.32263469696045
31,4,16,3,4,15,493,512,312.1957309246063
