,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.1996917724609375
1,1,8,1,0,0,16,16,0.34726428985595703
2,1,8,2,0,0,32,32,0.5931663513183594
3,1,8,3,0,1,63,64,1.1713142395019531
4,1,16,0,0,0,16,16,0.36589694023132324
5,1,16,1,0,0,32,32,0.6995530128479004
6,1,16,2,0,0,64,64,1.3202848434448242
7,1,16,3,2,0,126,128,2.389153242111206
8,1,24,0,0,0,24,24,0.7784373760223389
9,1,24,1,0,0,48,48,1.219822883605957
10,1,24,2,0,1,95,96,2.3340508937835693
11,1,24,3,4,3,185,192,4.281197786331177
12,2,8,0,0,0,16,16,0.493427038192749
13,2,8,1,0,0,32,32,0.9212133884429932
14,2,8,2,0,0,64,64,1.8350214958190918
15,2,8,3,1,1,126,128,3.1374499797821045
16,2,16,0,0,0,32,32,1.661756992340088
17,2,16,1,0,0,64,64,3.0626649856567383
18,2,16,2,0,0,128,128,6.195905685424805
19,2,16,3,5,5,246,256,11.013978242874146
20,2,24,0,0,0,48,48,5.142239809036255
21,2,24,1,0,0,96,96,10.15028190612793
22,2,24,2,1,1,190,192,19.339906215667725
23,2,24,3,5,4,375,384,35.53819274902344
24,3,8,0,0,0,24,24,1.0723438262939453
25,3,8,1,0,0,48,48,1.9960720539093018
26,3,8,2,0,0,96,96,4.045251846313477
27,3,8,3,0,7,185,192,7.313966751098633
28,3,16,0,0,0,48,48,4.92616868019104
29,3,16,1,0,1,95,96,10.18796968460083
30,3,16,2,2,4,186,192,17.946547746658325
31,3,16,3,5,20,359,384,29.97780966758728
32,3,24,0,0,1,71,72,25.05879521369934
33,3,24,1,1,2,141,144,62.049495458602905
34,3,24,2,5,4,279,288,116.66397881507874
35,3,24,3,17,11,548,576,178.869704246521
