,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.20007729530334473
1,1,8,1,0,0,16,16,0.3897414207458496
2,1,8,2,0,0,32,32,0.6814835071563721
3,1,8,3,0,0,64,64,1.287815809249878
4,1,16,0,0,0,16,16,0.4435882568359375
5,1,16,1,0,0,32,32,0.848135232925415
6,1,16,2,0,0,64,64,1.8184330463409424
7,1,16,3,0,0,128,128,3.27646541595459
8,2,8,0,0,0,16,16,0.5515356063842773
9,2,8,1,0,0,32,32,0.9819738864898682
10,2,8,2,0,0,64,64,1.9528625011444092
11,2,8,3,0,0,128,128,3.7361624240875244
12,2,16,0,0,0,32,32,1.769927978515625
13,2,16,1,0,0,64,64,3.519010305404663
14,2,16,2,0,0,128,128,7.158514022827148
15,2,16,3,0,0,256,256,13.4538733959198
16,3,8,0,0,0,24,24,1.0230166912078857
17,3,8,1,0,0,48,48,1.9309790134429932
18,3,8,2,0,0,96,96,4.002440929412842
19,3,8,3,0,0,192,192,7.700022220611572
20,3,16,0,1,0,47,48,4.072356700897217
21,3,16,1,2,0,94,96,8.328872442245483
22,3,16,2,4,0,188,192,16.758487462997437
23,3,16,3,8,1,375,384,31.81904101371765
24,4,8,0,1,0,31,32,1.4646525382995605
25,4,8,1,2,0,62,64,2.8852224349975586
26,4,8,2,4,1,123,128,6.004862546920776
27,4,8,3,8,3,245,256,11.585928916931152
28,4,16,0,1,0,63,64,11.221686124801636
29,4,16,1,2,0,126,128,21.47574543952942
30,4,16,2,6,0,250,256,41.08123421669006
31,4,16,3,14,2,496,512,77.60184073448181
