,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.1408371925354004
1,1,8,1,0,0,16,16,0.272066593170166
2,1,8,2,0,0,32,32,0.4763810634613037
3,1,8,3,2,2,60,64,0.8663489818572998
4,1,16,0,0,0,16,16,0.24959921836853027
5,1,16,1,0,0,32,32,0.5005674362182617
6,1,16,2,0,0,64,64,0.8921804428100586
7,1,16,3,4,1,123,128,1.7086431980133057
8,2,8,0,0,0,16,16,0.39072513580322266
9,2,8,1,0,0,32,32,0.6668217182159424
10,2,8,2,0,0,64,64,1.2224061489105225
11,2,8,3,1,0,127,128,2.3721446990966797
12,2,16,0,0,0,32,32,1.231388807296753
13,2,16,1,0,0,64,64,2.4617903232574463
14,2,16,2,2,2,124,128,4.707081079483032
15,2,16,3,6,5,245,256,8.592258214950562
16,3,8,0,2,0,22,24,0.5858497619628906
17,3,8,1,5,0,43,48,1.1528356075286865
18,3,8,2,11,4,81,96,2.1450130939483643
19,3,8,3,29,12,151,192,3.9821956157684326
20,3,16,0,0,0,48,48,4.195562362670898
21,3,16,1,1,1,94,96,8.564172983169556
22,3,16,2,2,4,186,192,16.234883069992065
23,3,16,3,7,21,356,384,28.67004084587097
24,4,8,0,0,2,30,32,1.2423160076141357
25,4,8,1,0,4,60,64,2.550344944000244
26,4,8,2,0,8,120,128,4.809906482696533
27,4,8,3,2,20,234,256,8.977982997894287
28,4,16,0,2,1,61,64,14.340125560760498
29,4,16,1,4,2,122,128,25.440810441970825
30,4,16,2,8,6,242,256,48.97487950325012
31,4,16,3,23,15,474,512,84.22464728355408
