,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.13559317588806152
1,1,8,1,0,0,16,16,0.2866246700286865
2,1,8,2,0,0,32,32,0.4380955696105957
3,1,8,3,0,0,64,64,0.8708209991455078
4,1,16,0,0,0,16,16,0.27211713790893555
5,1,16,1,0,0,32,32,0.5320372581481934
6,1,16,2,0,0,64,64,1.0423800945281982
7,1,16,3,0,0,128,128,1.9753398895263672
8,2,8,0,0,0,16,16,0.34963464736938477
9,2,8,1,0,0,32,32,0.6471264362335205
10,2,8,2,0,0,64,64,1.27750825881958
11,2,8,3,0,0,128,128,2.4854204654693604
12,2,16,0,0,0,32,32,1.5127229690551758
13,2,16,1,0,0,64,64,3.2574703693389893
14,2,16,2,0,0,128,128,6.158455848693848
15,2,16,3,0,0,256,256,11.739855766296387
16,3,8,0,0,0,24,24,0.7577030658721924
17,3,8,1,0,0,48,48,1.5204198360443115
18,3,8,2,1,0,95,96,2.802164316177368
19,3,8,3,2,0,190,192,5.650202035903931
20,3,16,0,0,0,48,48,4.224489450454712
21,3,16,1,0,0,96,96,8.497559785842896
22,3,16,2,0,0,192,192,16.278602600097656
23,3,16,3,0,3,381,384,31.501976490020752
24,4,8,0,1,1,30,32,1.3697762489318848
25,4,8,1,2,3,59,64,2.6150848865509033
26,4,8,2,5,6,117,128,5.345237731933594
27,4,8,3,13,12,231,256,10.89961552619934
28,4,16,0,0,1,63,64,20.928067922592163
29,4,16,1,0,2,126,128,41.154818058013916
30,4,16,2,0,6,250,256,89.71629452705383
31,4,16,3,0,12,500,512,173.97738885879517
