,camadas,neurônios,slices,ub_y<=0,lb_y>=0,sem_simplificação,total,tempo
0,1,8,0,0,0,8,8,0.14424490928649902
1,1,8,1,0,0,16,16,0.2470722198486328
2,1,8,2,0,0,32,32,0.4725029468536377
3,1,8,3,0,0,64,64,0.90250563621521
4,1,16,0,0,0,16,16,0.3324887752532959
5,1,16,1,0,0,32,32,0.5363130569458008
6,1,16,2,0,0,64,64,1.1477487087249756
7,1,16,3,0,0,128,128,2.111422300338745
8,1,24,0,0,0,24,24,0.5165903568267822
9,1,24,1,0,0,48,48,0.9206736087799072
10,1,24,2,0,0,96,96,1.8620460033416748
11,1,24,3,0,1,191,192,3.8772096633911133
12,2,8,0,0,0,16,16,0.40186119079589844
13,2,8,1,0,0,32,32,0.7125649452209473
14,2,8,2,0,0,64,64,1.4585411548614502
15,2,8,3,0,0,128,128,2.8521718978881836
16,2,16,0,0,0,32,32,1.7338197231292725
17,2,16,1,0,0,64,64,3.176577091217041
18,2,16,2,0,0,128,128,6.147449970245361
19,2,16,3,2,0,254,256,11.745558261871338
20,2,24,0,0,0,48,48,4.129843711853027
21,2,24,1,0,0,96,96,8.42054533958435
22,2,24,2,0,0,192,192,16.149914503097534
23,2,24,3,0,2,382,384,32.677937030792236
24,3,8,0,1,0,23,24,0.7422280311584473
25,3,8,1,2,0,46,48,1.396822452545166
26,3,8,2,6,0,90,96,2.806178569793701
27,3,8,3,13,0,179,192,5.387192726135254
28,3,16,0,0,0,48,48,4.477510690689087
29,3,16,1,1,0,95,96,9.048049926757812
30,3,16,2,3,1,188,192,17.381229639053345
31,3,16,3,7,4,373,384,34.4050498008728
32,3,24,0,0,0,72,72,26.5075044631958
33,3,24,1,0,0,144,144,48.00013494491577
34,3,24,2,0,0,288,288,96.98573517799377
35,3,24,3,0,0,576,576,170.47050595283508
